w,y
46,53
35,69
44,52
34,42
2,85
25,57
30,5
13,26
6,58
26,62
88,10
87,68
97,73
35,36
98,33
22,78
44,63
95,14
35,7
18,63
7,25
46,68
3,26
41,17
27,7
77,69
49,47
69,28
25,24
83,52
44,28
44,59
46,42
50,61
32,14
9,40
39,50
19,20
47,97
14,31
56,67
75,96
84,24
85,92
91,66
63,53
29,16
48,72
9,66
13,25
3,22
25,95
82,99
19,57
77,33
37,6
61,98
95,75
62,9
23,60
86,13
94,85
84,40
94,23
70,15
77,15
43,18
21,58
31,13
50,82
94,4
7,29
6,55
64,34
8,31
27,81
41,66
10,27
74,47
77,39
32,39
6,24
78,48
3,20
42,41
50,82
82,1
35,7
55,86
95,68
86,51
31,44
55,5
63,38
88,86
12,33
92,26
6,50
3,86
26,65
86,7
72,60
9,22
24,70
65,40
32,79
49,80
98,84
10,24
53,52
74,44
80,13
17,52
13,82
79,79
35,46
17,41
30,4
46,9
98,12
5,80
48,95
9,13
95,13
14,58
88,78
32,32
37,3
81,10
33,47
42,11
63,96
40,78
70,7
9,25
13,80
41,49
96,22
2,95
85,44
16,71
24,11
24,76
9,26
80,99
2,5
80,11
34,85
16,5
28,70
16,33
65,43
50,89
90,13
21,14
52,17
19,5
62,9
56,7
70,17
66,88
55,14
82,90
25,94
68,82
27,67
27,90
44,97
45,39
91,50
63,10
43,34
14,20
85,26
86,75
98,51
33,86
12,1
81,52
79,20
56,45
69,34
16,75
19,8
90,10
64,18
71,21
69,64
24,81
79,16
91,18
66,78
35,3
63,96
85,51
58,56
37,78
17,1
8,95
61,45
33,70
88,90
51,77
13,52
94,9
73,62
17,68
40,89
89,36
43,88
94,53
39,88
42,27
20,88
14,50
64,3
73,25
14,67
77,8
70,78
61,45
51,31
35,74
98,18
38,79
62,19
34,72
3,61
42,90
64,90
75,44
63,41
70,72
81,69
98,85
33,6
66,10
51,36
75,48
18,84
49,35
28,44
64,72
66,95
7,58
54,21
50,29
69,20
19,22
44,4
43,83
39,33
35,13
51,40
60,8
53,20
6,95
20,23
89,16
5,11
67,6
53,97
93,55
93,33
63,84
59,60
96,25
77,35
70,72
9,99
44,17
38,29
76,63
66,82
55,12
60,11
50,90
29,19
55,82
25,73
39,82
8,67
77,82
53,24
89,20
70,74
83,41
33,93
10,21
63,28
66,45
12,58
77,19
55,28
60,36
87,35
56,86
85,27
22,24
47,42
89,4
50,25
87,35
39,45
48,93
21,99
55,16
2,71
90,55
88,15
52,10
10,65
67,1
68,71
25,52
93,57
55,84
72,29
60,23
61,71
24,38
42,8
33,24
92,1
12,21
43,27
57,90
62,90
70,61
36,37
49,27
26,4
93,99
37,93
39,7
76,16
20,15
27,88
52,10
79,3
67,22
5,11
19,19
85,45
62,63
11,6
24,48
10,33
88,40
66,48
28,92
48,13
67,95
18,68
91,15
98,57
26,1
6,60
51,26
80,23
20,97
70,24
21,59
26,62
50,7
41,13
17,75
39,12
98,88
45,7
12,38
32,31
4,8
29,64
85,80
20,3
32,35
29,74
4,89
11,23
6,84
87,66
24,58
2,51
86,39
77,89
9,37
79,93
19,49
91,45
70,29
5,85
75,77
50,90
4,61
95,60
16,16
53,24
52,71
10,12
