J1,J2,J3,J4,J5,J6,J7,J8,J9,J10
23,80,76,78,32,70,4,15,91,2
56,24,32,98,71,41,2,63,80,92
63,84,96,25,25,2,9,78,96,60
1,73,14,74,25,95,57,1,85,65
29,63,15,27,16,79,83,71,55,85
42,81,50,18,81,9,57,16,41,99
29,8,60,4,75,76,2,52,43,34
81,62,43,62,58,36,77,7,21,82
23,38,86,84,9,74,88,37,23,27
60,25,64,67,54,89,1,50,32,69
70,23,93,84,26,63,57,4,95,62
31,59,64,0,63,40,47,51,85,14
21,93,51,81,50,31,69,73,90,49
6,71,3,39,23,67,28,96,1,92
82,68,17,4,62,85,75,79,51,74
76,18,77,22,85,98,79,38,46,8
47,22,23,0,9,60,33,36,11,99
37,29,15,80,4,72,51,50,42,73
93,10,51,78,28,45,27,89,17,45
47,4,74,61,42,54,49,90,39,76
