J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20
72,18,17,37,0,20,73,47,72,82,29,48,78,36,46,0,33,74,32,8
22,20,93,82,19,2,19,78,31,20,12,99,36,3,47,41,21,14,8,45
14,14,14,39,27,60,14,79,23,7,58,13,76,4,37,59,19,27,2,97
72,9,33,41,47,99,74,76,65,35,62,70,3,18,62,65,1,90,52,12
96,4,55,77,90,21,47,69,37,71,33,7,32,75,99,64,52,28,75,96
79,89,14,60,96,0,46,68,0,40,71,80,49,43,11,22,80,3,83,34
30,23,82,91,2,75,40,99,46,40,13,98,65,98,28,40,62,68,79,11
42,61,6,79,4,2,7,89,50,98,40,29,23,39,65,56,89,54,4,93
36,26,92,20,0,82,69,49,81,40,44,13,36,75,6,95,65,97,41,61
64,84,92,61,30,97,45,36,34,33,23,77,99,80,23,72,36,80,4,63
76,58,34,50,99,72,64,66,14,23,71,63,68,44,12,25,5,68,71,28
91,88,7,50,5,85,91,97,85,87,97,84,34,71,40,54,35,11,74,95
10,11,12,95,42,60,69,91,47,81,71,97,94,2,83,84,72,9,93,56
15,10,51,96,8,58,14,41,28,90,19,8,25,68,6,68,25,20,45,76
10,34,11,45,28,72,0,12,26,4,53,22,1,9,49,63,61,42,31,86
73,20,34,62,48,99,20,23,19,90,82,90,86,74,67,40,72,61,5,32
66,40,61,34,96,40,94,83,22,46,87,27,68,91,79,34,34,72,43,47
28,18,71,40,90,25,37,85,67,29,93,22,48,16,58,20,61,25,77,43
29,94,25,17,56,32,36,52,19,63,24,61,90,20,58,61,35,90,95,69
91,33,57,68,71,49,73,96,77,42,75,28,5,48,36,91,65,17,50,47
