J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
48,30,87,25,39,51,91,43,91,17,0,36,53,25,21,36,77,93,95,91,45,93,45,72,11,48,84,34,20,15,40,56,87,98,21,1,87,45,93,37
98,74,42,60,59,49,1,44,55,72,94,25,55,80,67,40,51,9,51,29,60,71,28,1,16,77,18,81,56,36,96,84,20,21,4,79,31,30,60,92
41,58,71,37,0,29,83,88,44,57,69,17,6,58,98,74,95,80,84,49,17,97,45,0,38,36,3,48,54,73,82,74,34,67,44,1,55,59,9,91
91,33,91,14,82,51,67,58,66,3,33,10,48,72,43,11,56,53,51,36,80,62,20,49,24,88,16,23,99,58,52,58,33,82,16,53,64,38,71,88
83,41,52,78,83,76,3,43,54,98,99,5,93,37,30,76,43,75,34,10,5,25,80,89,60,57,25,78,36,86,32,9,35,81,89,65,26,9,61,88
68,73,85,23,32,89,48,63,60,64,52,11,2,66,31,65,94,24,87,56,1,4,83,17,50,30,0,31,50,84,60,4,82,52,47,54,72,86,96,87
41,83,80,30,56,71,22,80,45,24,61,89,54,43,31,13,96,28,97,43,42,78,61,85,40,99,12,66,63,42,27,29,15,41,48,60,60,34,57,71
17,96,49,46,23,3,76,19,78,94,29,78,60,21,56,76,47,79,44,80,41,40,95,49,78,93,64,9,25,16,32,56,8,99,7,96,49,35,56,68
72,69,87,75,98,63,85,28,78,67,71,54,55,92,53,4,13,51,85,15,42,36,38,6,95,66,31,12,18,59,14,69,72,80,12,89,97,42,94,5
30,9,92,43,62,35,77,60,40,59,66,94,99,6,51,77,37,63,28,97,17,17,3,34,99,98,22,61,7,85,55,97,98,4,99,3,97,22,89,72
99,97,42,44,60,5,95,69,76,23,30,68,34,71,82,40,2,32,97,22,77,32,38,39,55,84,22,34,68,14,15,92,20,29,50,19,85,41,61,88
68,78,99,19,91,34,86,29,72,62,20,81,17,32,4,87,50,76,33,94,95,25,6,93,14,96,79,58,66,20,33,52,15,9,66,5,22,67,21,69
11,0,41,58,62,82,41,50,83,99,80,50,48,10,9,75,65,85,38,30,61,4,80,3,51,60,19,21,59,25,46,70,7,6,64,63,51,48,2,84
11,75,87,1,23,13,84,68,29,2,63,31,61,61,75,58,56,88,1,27,67,60,34,63,90,68,12,21,44,34,42,38,84,80,25,68,37,81,81,10
64,6,89,13,22,14,92,40,22,93,41,6,72,37,63,69,12,6,26,60,30,21,92,28,79,22,26,29,78,49,63,71,1,6,43,11,91,27,90,10
17,43,51,29,8,76,28,98,12,4,99,41,34,25,23,99,8,3,73,84,81,15,95,70,99,61,24,84,6,67,82,37,75,14,74,34,38,80,86,8
69,58,48,86,12,49,13,84,40,86,79,80,90,7,25,28,94,53,44,41,20,47,48,7,23,65,2,55,77,25,99,44,72,91,10,16,36,61,68,99
72,21,59,78,78,13,10,13,64,62,33,96,33,82,16,32,8,85,55,83,95,29,82,49,55,52,16,48,28,85,0,29,10,24,63,62,68,28,27,6
38,19,56,99,49,45,19,39,8,28,86,87,93,61,44,7,84,25,63,60,37,0,94,67,28,48,53,90,64,64,5,45,99,6,95,20,77,65,0,57
61,59,39,89,19,28,70,21,12,83,30,99,29,47,32,79,9,27,77,61,17,84,92,64,44,72,43,99,12,49,50,21,90,67,40,72,38,92,89,88
37,99,65,80,36,59,92,17,78,19,90,75,77,37,90,52,60,87,42,25,91,8,29,90,1,12,64,56,46,46,71,36,91,29,19,1,39,24,13,40
61,14,54,93,92,33,81,46,54,47,82,65,72,49,59,42,76,70,28,48,53,71,3,26,31,82,35,50,95,58,82,37,25,17,37,58,86,79,10,76
88,86,19,34,64,22,29,17,77,99,66,29,93,25,25,68,57,38,45,79,37,29,69,10,79,87,14,29,22,75,26,0,13,29,84,8,79,43,87,76
50,49,1,32,2,80,16,95,15,7,15,19,15,78,59,58,12,22,27,96,48,30,10,86,12,34,94,67,84,51,15,4,74,93,11,37,46,72,96,17
76,78,50,35,27,38,18,89,9,97,96,38,69,60,65,14,74,49,73,37,82,81,87,73,63,82,53,89,16,0,50,82,17,60,26,48,17,27,64,92
35,50,51,21,34,54,23,15,58,55,53,60,93,91,1,80,83,42,9,88,44,79,99,75,78,65,58,7,86,56,15,99,47,80,65,29,63,40,50,23
21,19,72,48,37,22,29,49,81,72,14,65,38,21,98,26,0,27,95,56,91,98,21,83,13,77,19,27,43,87,80,99,77,16,56,47,45,26,64,41
7,75,6,5,54,22,43,7,42,68,83,50,75,16,59,0,5,35,54,6,6,60,66,51,47,5,17,20,87,24,54,61,94,93,82,56,21,83,21,20
9,48,52,52,88,70,89,75,12,76,20,92,93,19,47,62,8,43,4,1,75,73,2,25,47,32,16,87,2,93,77,67,84,30,93,48,78,93,23,14
16,41,66,77,87,99,82,55,39,35,8,18,58,47,17,24,6,64,85,68,29,34,76,25,94,27,6,99,35,25,38,27,48,90,81,40,84,90,21,68
