J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20
1,35,81,97,11,50,95,50,1,67,80,94,65,0,22,7,81,43,0,54
88,45,84,87,71,34,72,15,18,51,97,36,61,89,62,58,26,37,25,76
9,90,9,1,39,51,39,39,71,80,96,31,58,34,61,91,35,38,86,97
13,12,29,62,83,76,92,70,15,62,30,77,12,5,49,38,33,43,10,57
59,38,22,53,52,49,37,22,13,67,54,82,56,34,11,76,92,45,97,33
82,67,92,20,93,37,93,21,48,5,67,22,43,35,88,99,65,46,76,30
28,56,67,27,36,34,18,92,35,74,22,66,70,15,71,34,72,82,62,67
13,25,43,38,92,24,85,16,65,20,72,88,77,95,98,27,75,67,62,74
21,23,22,31,39,8,5,6,50,60,37,63,69,88,71,41,81,81,63,98
92,5,19,78,66,37,67,18,75,58,39,15,74,91,12,25,29,41,71,0
