J1,J2,J3,J4,J5,J6,J7,J8,J9,J10
94,17,22,40,15,62,25,93,77,4
44,72,58,1,53,85,24,9,13,17
9,22,19,53,79,7,10,12,35,44
91,53,5,81,27,37,42,11,62,61
42,77,29,1,26,73,19,65,84,36
18,8,17,63,38,58,12,16,72,84
74,32,88,98,53,47,72,74,11,69
54,79,46,55,52,68,27,44,53,91
43,62,4,63,16,73,24,79,66,30
82,69,55,46,63,97,50,26,76,66
53,32,4,95,28,45,53,24,82,31
14,72,92,68,13,1,42,71,29,12
67,38,75,56,10,39,33,63,54,59
45,92,30,45,40,91,12,80,12,78
1,72,78,3,88,25,58,17,51,39
87,62,45,24,29,82,36,57,10,82
93,65,14,23,74,28,44,56,71,79
12,27,82,55,11,63,78,99,96,46
69,40,60,84,17,53,42,35,31,35
43,45,48,64,91,96,61,17,25,80
