w,y
36,72
25,53
64,22
43,82
89,46
34,29
84,11
16,85
98,60
9,60
45,15
78,55
47,23
90,43
28,46
20,84
42,5
14,7
54,78
37,7
84,4
96,14
25,37
55,8
72,46
19,89
86,15
40,67
15,41
34,73
76,19
23,48
37,29
7,12
32,3
57,27
9,12
52,75
53,92
46,63
79,82
92,7
82,72
29,49
66,3
47,38
94,31
95,23
1,28
44,39
39,16
68,89
17,11
26,86
45,13
9,28
84,99
65,97
23,85
67,43
33,46
63,93
80,35
94,73
40,6
21,79
50,24
25,26
81,16
22,96
82,34
73,7
94,7
38,46
61,29
23,63
80,53
22,80
75,77
54,34
93,47
74,66
9,81
21,38
5,23
36,24
6,53
87,88
9,54
31,69
70,90
64,34
28,30
77,24
74,21
61,95
87,95
3,86
22,48
55,59
37,58
90,14
98,2
99,6
74,82
64,36
76,17
89,59
81,30
49,83
57,90
21,82
48,84
20,19
8,76
89,41
32,22
65,60
67,16
44,26
94,72
80,79
37,45
2,68
82,66
64,32
33,84
33,77
65,76
35,26
34,34
9,51
49,90
18,37
20,84
59,58
80,65
54,83
88,40
29,79
81,79
84,91
69,47
14,52
28,63
80,73
50,39
64,85
78,40
46,53
13,25
63,34
65,28
10,34
97,18
49,83
81,4
79,39
89,29
40,85
2,81
38,52
57,35
2,38
57,30
29,55
15,73
31,25
57,5
34,49
28,15
99,82
38,89
58,83
92,61
6,29
50,60
22,95
11,1
32,85
88,52
58,53
84,22
38,37
39,55
71,44
95,7
27,99
21,3
62,36
93,38
53,1
33,21
78,82
88,17
65,73
79,81
55,66
28,92
54,57
64,60
89,88
85,41
35,53
46,36
36,49
99,37
79,49
86,66
64,96
32,78
50,42
26,50
5,25
44,83
9,8
45,4
98,35
64,97
58,36
70,91
15,60
55,71
69,32
70,76
62,92
78,16
99,11
93,86
81,50
35,23
70,58
94,20
64,32
90,26
16,97
46,82
7,53
18,45
25,83
68,9
52,18
85,14
97,4
79,42
81,63
22,55
21,72
44,8
52,28
65,52
25,21
19,99
28,95
46,44
49,64
9,42
4,78
65,25
28,83
97,13
86,42
34,35
40,29
58,89
70,69
92,55
23,44
42,72
78,5
19,41
53,43
95,48
24,81
44,68
23,71
90,8
24,62
4,78
43,47
2,26
96,75
23,54
52,91
74,79
69,6
53,74
90,19
80,69
11,75
3,34
44,38
78,62
17,39
90,23
33,28
92,52
6,97
87,15
38,72
25,57
45,40
26,15
57,48
66,91
79,91
56,35
79,2
69,81
7,54
13,9
82,73
26,70
64,8
90,35
10,25
78,73
91,30
86,84
48,66
58,5
1,14
88,28
41,23
67,47
17,88
5,90
81,16
89,69
94,97
12,52
5,67
23,29
14,5
69,77
23,9
17,50
12,25
88,54
90,43
33,12
10,4
54,34
55,34
15,84
54,90
6,44
70,56
6,13
71,66
38,55
23,10
13,47
59,16
58,79
86,46
52,79
35,88
25,62
29,97
68,64
94,89
19,28
43,65
34,74
97,18
45,84
87,43
75,66
71,68
92,6
74,83
9,62
60,22
38,17
96,74
21,11
32,88
67,42
95,47
2,83
69,55
6,63
56,6
37,29
30,77
76,15
84,97
66,11
66,74
88,72
4,96
72,55
16,39
45,40
43,10
90,24
8,42
64,1
73,81
